NMT,anio,mes,dia,tipo,LAEQ,LAS01,LAS10,LAS50,LAS90,LAS99
50,2022,1,3,N,60.3,66.9,62.8,56.3,49.7,45.5
50,2022,1,3,T,63.7,70,66.3,62.3,53.2,47
54,2022,1,3,D,61.5,67.3,64.1,60.4,56.9,53.9
54,2022,1,3,E,60.8,66.6,63.4,59.4,55.2,51.7
54,2022,1,3,N,53.5,61.7,54.9,48.9,46.2,45.1
54,2022,1,3,T,59.9,65.2,60.9,56.4,53,50.5
55,2022,1,3,D,56.1,64.6,58.6,52.5,49,46.7
55,2022,1,3,E,54.9,63.2,56.6,51.5,48.4,47
55,2022,1,3,N,52.8,63.7,53.2,47,42.5,41.2
55,2022,1,3,T,55.1,64.2,57.1,51.1,44.4,41.7
86,2022,1,3,D,56.3,64.7,59,52.4,46.8,44
86,2022,1,3,E,54.9,62.9,57.7,50.7,45.6,43.3
86,2022,1,3,N,56.4,71.6,54.4,42.2,38.3,37.1
86,2022,1,3,T,56.1,66.6,58.2,49.9,40,37.4
1,2022,1,4,D,66.6,74.5,69.7,64.1,58.3,53.1
1,2022,1,4,E,63.7,69.8,66.8,62.2,57.1,53.6
1,2022,1,4,N,58.5,66.8,62.7,54.3,46.6,42.9
1,2022,1,4,T,64.7,73.2,67.9,61.4,51.2,44
2,2022,1,4,D,70.2,75.5,72,68.6,65.2,62.1
2,2022,1,4,E,68.8,73.3,69.9,67.5,63.9,60.7
2,2022,1,4,N,64.4,70.9,67.7,61.8,56.5,53.1
2,2022,1,4,T,68.8,74.9,70.9,67.2,59.5,54.6
3,2022,1,4,D,61.1,69.5,64.3,58.6,53.7,47.3
3,2022,1,4,E,59.5,67.4,62,55.9,51.4,47.2
3,2022,1,4,N,56.5,68.5,59.1,49.6,44.3,41.7
3,2022,1,4,T,59.7,69,63.1,56.1,46.5,42.7
5,2022,1,4,D,62.1,68.4,64.8,60.6,55.9,51.9
5,2022,1,4,E,63.7,70.2,63.9,59.7,54.5,50
5,2022,1,4,N,52.3,61.8,56.4,47.2,38.4,36.5
5,2022,1,4,T,61,67.8,63.9,58.2,42.2,37.2
6,2022,1,4,D,70.2,77.9,73.4,67.8,63.2,60
6,2022,1,4,E,69.6,76,72.4,66.9,63.1,59.3
6,2022,1,4,N,62.6,71,66,58.6,49.5,44.4
6,2022,1,4,T,68.7,77.2,72.2,65.6,54.7,46.5
8,2022,1,4,D,65.6,72.3,67.9,63.4,59.7,56.7
8,2022,1,4,E,64.2,70.6,67,62.5,58.6,55.4
8,2022,1,4,N,59.1,66.8,62,55.7,48.6,46.3
8,2022,1,4,T,64,70.3,65.9,60.7,55.9,53.1
10,2022,1,4,D,65.5,73.9,69.3,62.2,56.8,53.6
10,2022,1,4,E,64.2,72.4,67.8,61.4,56.1,52.2
10,2022,1,4,N,60.1,69.2,60.7,51.3,47.2,46.1
10,2022,1,4,T,64.1,73,67.9,59.8,49,46.4
11,2022,1,4,D,69.3,74.6,71.4,67.9,62.5,58.7
11,2022,1,4,E,68.6,72.9,69.9,66,60.3,56.2
11,2022,1,4,N,59.4,68.2,61.7,52.1,44.9,42.2
11,2022,1,4,T,67.6,72.2,67.9,62.3,56.2,52.7
12,2022,1,4,D,63.3,69.9,65.3,61.6,58.1,55.1
12,2022,1,4,E,63.7,70.9,64.6,61.3,57.5,54.3
12,2022,1,4,N,55.7,63,58.7,52.6,46.7,41.7
12,2022,1,4,T,62,69.2,64.4,60,50,43.6
13,2022,1,4,D,61.2,71.9,63.6,57.9,52.4,48.2
13,2022,1,4,E,56.9,65.6,59.2,54.6,50.1,46.9
13,2022,1,4,N,49.3,59.3,52.4,44.9,41.7,40.2
13,2022,1,4,T,58.9,69,61.6,54.6,43.2,40.8
14,2022,1,4,D,64,71.4,66.1,61.9,59,57
14,2022,1,4,E,62.6,68.9,64.1,61.2,57.9,55.3
14,2022,1,4,N,57.6,66,61.3,54.6,48.3,45.5
14,2022,1,4,T,62.4,70,64.9,60.5,51.7,46.6
16,2022,1,4,D,59,66.6,61.7,55.7,49.4,45
16,2022,1,4,E,59.6,64.9,60.9,56,50.3,45.3
16,2022,1,4,N,50.4,59.9,53.6,42.4,38.2,37.1
16,2022,1,4,T,57.7,65.6,60.4,53.6,39.7,37.4
17,2022,1,4,D,57.6,67.5,60,54.2,49,45.5
17,2022,1,4,E,55.4,61.9,57.8,54.1,50.9,48.5
